temp_id,url,pages,year,title,author,price,dimensions,materials,description,reference,images,publisher,edition,binding,isbn
0,https://centerforbookarts.org/book-shop/chino-crafts-twin-treasures-mini-bone-folders-in-case,,,Chino Crafts Twin Treasures Mini Bone Folders in Case,,21.0,3 inches,"['natural horn', 'natural bone']","Two mini bone and horn folders in pouch Handmade by Chino Crafts of Nepal We bring you bone , horn and wood crafted folders that are a delight to own and work with . We have been in business for over 2 decades , supplying our finely made tools and accessories to book artists worldwide .",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/chino_twin_tresures-1.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_twin_tresures_3.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_twin_tresures_2.png']",,,,
1,https://centerforbookarts.org/book-shop/chino-crafts-teardrop-3-inch-bone-folder,,,Chino Crafts Teardrop 3 inch bone folder,,7.0,3 inches,['natural bone'],"Tear dropped shaped small bone folder with strawberry or grape engraving Handmade by Chino Crafts of Nepal We bring you bone , horn and wood crafted folders that are a delight to own and work with . We have been in business for over 2 decades , supplying our finely made tools and accessories to book artists worldwide .",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/chino_tear_drop_4.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_tear_drop_3.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_tear_drop_2.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_tear_drop_1-1.png']",,,,
2,https://centerforbookarts.org/book-shop/chino-crafts-horn-handle-awl-and-case,,,Chino Crafts Horn Handle Awl and Case,,18.0,4 inches,['natural horn'],"Awl with Horn Handle in box Handmade by Chino Crafts of Nepal We bring you bone , horn and wood crafted folders that are a delight to own and work with . We have been in business for over 2 decades , supplying our finely made tools and accessories to book artists worldwide .",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/chino_horn_handle_awl_1.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_horn_handle_awl_1.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_horn_handle_awl_3.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chino_horn_handle_awl_2.png']",,,,
3,https://centerforbookarts.org/book-shop/towards-a-self-sustaining-publishing-model,4.0,2021.0,Towards a Self Sustaining Publishing Model,Marc Fischer,1.0,8.5 in x 5.5 in,['offset'],"Towards a Self Sustaining Publishing Model By Marc Fischer Public Collectors, Chicago, IL, 2021 A new version of this text that was previously printed as an 11X17 RISO poster/brochure. Now it exists through the Public Collectors imprint as a heavy stock greeting card-format piece with sharp offset printing. This text was written in one coffee-fueled blast of energy the morning of the program Towards A Self Sustaining Publishing Model, organized by Be Oakley of GenderFail and presented on Zoom by Printed Matter on April 2, 2021. Video of the talk has since been archived on Printed Matter’s YouTube channel.",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/public_collectors_1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/public_collectors_2-scaled.jpg']",Public Collectors,2300,folio,
4,https://centerforbookarts.org/book-shop/merchandise/pin,,2023.0,The Golden Touch Pin,,6.0,1 x 0.5 inches,"['golden metal pin', 'black enamel ']","The manicule—also known as a printer’s fist, indicule, indicator, bishop’s fist, pointer, or pointing hand—is a hand-shaped print ornament used for literally centuries by printers to draw the reader’s attention to marginal notes and important information. To design this pin, Gillian and Caroline printed a few different hand-shaped ornaments from the letterpress type collection using a Vandercook in the printshop. We chose to make a pin from this one for its size, classic little sleeve cuff, and etched shadows and fingernails. And this pin is actually the exact size of the printed image of the ornament in our collection! Draw attention to your fabulous style and taste, and celebrate letterpress printing history, with this gold-plated enamel lapel pin! This stunning golden pin was produced to benefit Center for Book Arts in 2023. Gillian Caroline printshop",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/pin2023.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/Screen-Shot-2023-11-15-at-2.34.13-PM.png']",,100 pins,,
5,https://centerforbookarts.org/book-shop/books-on-books/coup-de-des-collection-books-and-ideas-after-mallarme-preorder,304.0,2024.0,Coup de Dés (Collection) Books and Ideas After Mallarmé (PREORDER),Michalis Pichler,35.0,6.75 x 9.5 inches,,"By now the appropriation of Mallarmé, and in particular of his Un Coup de Dés Jamais N’Abolira le Hasard, constitutes a genre of its own. Coup de Dés (Collection) attempts to gather, present and contextualize the numerous editions, re-editions, appropriations of Un Coup de Dés Jamais N’Abolira le Hasard, including those attributed to Mallarmé as well as those which claimed by artists as new works in their own right. Moreover, the collection comprises publications, of whatever genre, which feature the word-constellation “Coup de Dés” on their cover. Un Coup de Dés Jamais N’Abolira le Hasard Coup de Dés (Collection) Un Coup de Dés Jamais N’Abolira le Hasard Un Coup de Dés (Collection) is a book about books, a collection, a gathering of evidence, a critical investigation, and an anthology of artists books. The book will catalogue all the books in its accompanying exhibition with meticulous bibliographic details, will be richly illustrated, and will be accompanied by critical essays written by leading scholars of the field such as Annette Gilbert, Craig Dworkin, Luc Boltanski/Arnauld Esquerre, Michalis Pichler and Ryoko Sekiguchi. Un Coup de Dés (Collection) “Books and Ideas Mallarmé” explores how Mallarmé’s Coup came about in the first place and how the absence of an authoritative edition contributed to keeping its exact status indeterminate, making it intertextual text par excellance. Coup par excellance Also, it looks at the Coup which has become a reference piece that gets appropriated with increasing frequency by contemporary artists and authors, who often operate independently from the commercial gallery system, gather around the networks of art book fairs, and have contributed to a wide-ranging bibliographic discourse within a field that has been subsumed under the umbrella term publishing as artistic practice. The research and the represented books all question the notion of the publication as a neutral container for information, and argue for a consideration of the physical shape and structure of text, of publications and of their materialization. Coup publishing as artistic practice Besides Stéphane Mallarmé, this anthology features books and bookworks by authors such as Derek Beaulieu, Jérémie Bennequin, Marcel Broodthaers4, burozoique, Bernard Chiavelli, Jim Clinefelter, Mario Diacono, Sammy Engramer, Cerith Wyn Evans, Ernest Fraenkel, Angela Grasser, Elsworth Kelly, La Bibliothèque Fantastique, Brian Larosche, Benjamin Lord, Michael Maranda, Guido Molinari, Monchas, Nontsikelelo Mutiti, Aurélie Noury, Raffaella Dell’Olga, Michalis Pichler, Nicolas Richard, Sam Sampson6,7,8, Camille Soula, Klara Vith5,6, Eric Zboya, and many more. The book is published on occasion of Exposition littéraire autour de Mallarmé at Center for Book Arts  (1/18/2024 – 5/1/2024).     Praise for Coup de Dés (Collection) Books and Ideas After Mallarmé “Richly illustrated, the book also features critical essays written by the editor and leading scholars of the field such as Annette Gilbert, Craig Dworkin, Luc Boltanski/Arnauld Esquerre and Ryoko Sekiguchi. Books and Ideas after Mallarmé explores how the absence of an authoritative edition of un coup de dés contributed to keeping it indeterminate, making it intertextual text par excellance. coup de dés (collection) showcases some of the many, varied responses generated across more than a century of imaginative creations inspired by the visual daring of Stéphane Mallarmé’s enigmatic un coup de dès. In addition, its thoughtful essays demonstrate the ongoing relevance of Mallarmé’s thought to the field of speculative poetics.” —Johanna Drucker, author of Iliazd: Meta-biography of a Modernist (Johns Hopkins) “True to the Symbolist practice of Stéphane Mallarmé, for whom the artist’s subjective consciousness was primary, Pichler configures and structures his book on literary and linguistic reflections after Mallarmé in an impressively unique way.” —Alexander Alberro, author of Conceptual Art and the Politics of Publicity (MIT Press) “With these multiple evocations of the poem, we can reiterate how great works are those that generate others, like an incessant perpetual movement, which Michalis Pichler, as a good collector of ideas, watches live and records.” —Aurélie Noury, researcher, editor at Éditions Incertain sens, librarian at ESAM Caen        Praise for Coup de Dés (Collection) Books and Ideas After Mallarmé “Richly illustrated, the book also features critical essays written by the editor and leading scholars of the field such as Annette Gilbert, Craig Dworkin, Luc Boltanski/Arnauld Esquerre and Ryoko Sekiguchi. Books and Ideas after Mallarmé explores how the absence of an authoritative edition of un coup de dés contributed to keeping it indeterminate, making it intertextual text par excellance. coup de dés (collection) showcases some of the many, varied responses generated across more than a century of imaginative creations inspired by the visual daring of Stéphane Mallarmé’s enigmatic un coup de dès. In addition, its thoughtful essays demonstrate the ongoing relevance of Mallarmé’s thought to the field of speculative poetics.” —Johanna Drucker, author of Iliazd: Meta-biography of a Modernist (Johns Hopkins) “True to the Symbolist practice of Stéphane Mallarmé, for whom the artist’s subjective consciousness was primary, Pichler configures and structures his book on literary and linguistic reflections after Mallarmé in an impressively unique way.” —Alexander Alberro, author of Conceptual Art and the Politics of Publicity (MIT Press) “With these multiple evocations of the poem, we can reiterate how great works are those that generate others, like an incessant perpetual movement, which Michalis Pichler, as a good collector of ideas, watches live and records.” —Aurélie Noury, researcher, editor at Éditions Incertain sens, librarian at ESAM Caen      Praise for Coup de Dés (Collection) Books and Ideas After Mallarmé “Richly illustrated, the book also features critical essays written by the editor and leading scholars of the field such as Annette Gilbert, Craig Dworkin, Luc Boltanski/Arnauld Esquerre and Ryoko Sekiguchi. Books and Ideas after Mallarmé explores how the absence of an authoritative edition of un coup de dés contributed to keeping it indeterminate, making it intertextual text par excellance. coup de dés (collection) showcases some of the many, varied responses generated across more than a century of imaginative creations inspired by the visual daring of Stéphane Mallarmé’s enigmatic un coup de dès. In addition, its thoughtful essays demonstrate the ongoing relevance of Mallarmé’s thought to the field of speculative poetics.” —Johanna Drucker, author of Iliazd: Meta-biography of a Modernist (Johns Hopkins) “True to the Symbolist practice of Stéphane Mallarmé, for whom the artist’s subjective consciousness was primary, Pichler configures and structures his book on literary and linguistic reflections after Mallarmé in an impressively unique way.” —Alexander Alberro, author of Conceptual Art and the Politics of Publicity (MIT Press) “With these multiple evocations of the poem, we can reiterate how great works are those that generate others, like an incessant perpetual movement, which Michalis Pichler, as a good collector of ideas, watches live and records.” —Aurélie Noury, researcher, editor at Éditions Incertain sens, librarian at ESAM Caen    Praise for Coup de Dés (Collection) Books and Ideas After Mallarmé “Richly illustrated, the book also features critical essays written by the editor and leading scholars of the field such as Annette Gilbert, Craig Dworkin, Luc Boltanski/Arnauld Esquerre and Ryoko Sekiguchi. Books and Ideas after Mallarmé explores how the absence of an authoritative edition of un coup de dés contributed to keeping it indeterminate, making it intertextual text par excellance. coup de dés (collection) showcases some of the many, varied responses generated across more than a century of imaginative creations inspired by the visual daring of Stéphane Mallarmé’s enigmatic un coup de dès. In addition, its thoughtful essays demonstrate the ongoing relevance of Mallarmé’s thought to the field of speculative poetics.” —Johanna Drucker, author of Iliazd: Meta-biography of a Modernist (Johns Hopkins) “True to the Symbolist practice of Stéphane Mallarmé, for whom the artist’s subjective consciousness was primary, Pichler configures and structures his book on literary and linguistic reflections after Mallarmé in an impressively unique way.” —Alexander Alberro, author of Conceptual Art and the Politics of Publicity (MIT Press) “With these multiple evocations of the poem, we can reiterate how great works are those that generate others, like an incessant perpetual movement, which Michalis Pichler, as a good collector of ideas, watches live and records.” —Aurélie Noury, researcher, editor at Éditions Incertain sens, librarian at ESAM Caen  Praise for Coup de Dés (Collection) Books and Ideas After Mallarmé Coup de Dés (Collection) Books and Ideas After Mallarmé “Richly illustrated, the book also features critical essays written by the editor and leading scholars of the field such as Annette Gilbert, Craig Dworkin, Luc Boltanski/Arnauld Esquerre and Ryoko Sekiguchi. Books and Ideas after Mallarmé explores how the absence of an authoritative edition of un coup de dés contributed to keeping it indeterminate, making it intertextual text par excellance. coup de dés (collection) showcases some of the many, varied responses generated across more than a century of imaginative creations inspired by the visual daring of Stéphane Mallarmé’s enigmatic un coup de dès. In addition, its thoughtful essays demonstrate the ongoing relevance of Mallarmé’s thought to the field of speculative poetics.” —Johanna Drucker, author of Iliazd: Meta-biography of a Modernist (Johns Hopkins) coup de dés (collection) “True to the Symbolist practice of Stéphane Mallarmé, for whom the artist’s subjective consciousness was primary, Pichler configures and structures his book on literary and linguistic reflections after Mallarmé in an impressively unique way.” —Alexander Alberro, author of Conceptual Art and the Politics of Publicity (MIT Press) “With these multiple evocations of the poem, we can reiterate how great works are those that generate others, like an incessant perpetual movement, which Michalis Pichler, as a good collector of ideas, watches live and records.” —Aurélie Noury, researcher, editor at Éditions Incertain sens, librarian at ESAM Caen",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/Coup_de_Des_cover.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/Coup-de-des-2023-11-15-at-1.55.15-PM.png', 'https://centerforbookarts.org/wp-content/uploads/2023/11/Coup-de-des-2023-11-15.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/Coup-de-des-2023-11-15-at-1.56.47-PM.png']",Center for Book Arts & Spector Books,,"Perfect Bound Softcover, Full Color",
6,https://centerforbookarts.org/book-shop/prints/deportee-without-a-country,,2023.0,cantos from the crossing – Preorder,Bhion Achimba,50.0,,['Letterpress'],"This is a preorder, images coming soon. cantos from the crossing by Bhion Achimba Bhion Achimba is the winner of the Center for Book Arts 2023 Poetry Chapbook Competition The Chapbook was designed and printed by Amber Braverman",,['https://centerforbookarts.org/wp-content/uploads/2023/11/cantos_from_the_crossing_place_holder.png'],Center for Book Arts,100,Chapbook,
7,https://centerforbookarts.org/book-shop/prints/and-was-a-flower,,2023.0,and was a flower,Aracelis Girmay,50.0,8.5 x 11 inches,['Risograph'],"and was a flower by aracelis grimay Chapbook designed and printed by Valentina Améstica at Center for Book Arts in honor of the 2023 Poetry Chapbook Contest, for which aracelis girmay was the judge. Edition of 100. spirals were produced in Chile by Joaquin Martínez.",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-2-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-3-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-4-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-5.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-6-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-7-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/chapbook-8-scaled.jpg']",Center for Book Arts,100,Chapbook,
8,https://centerforbookarts.org/book-shop/prints/unentitled-women-black-or-on-being-otherwise,1.0,2023.0,unentitled [women black or on being otherwise],sadé powell,20.0,11 x 17 inches,['Risograph'],"unentitled [women black or on being otherwise] by sadé powell Broadside designed and printed by Kristen Mueller at the Center for Book Arts in honor of the poet’s reading on November 16, 2023. Poem typeset by powell on a 1940s Royal typewriter. Broadside printed using duotone risograph (flat gold and black) on Classic Crest paper in a signed edition of 100.",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/sade_powell_broadside_2023.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/sade_powell_broadside_2023_detail.jpg']",Center for Book Arts,100,Broadside,
9,https://centerforbookarts.org/book-shop/prints/fugue,1.0,2023.0,Fugue,Suji K. Kim,20.0,9.5 x 14 inches,"['Letterpress', 'Frottage', 'Mohawk Vellum']","Fugue by Suji Kwok Kim. Broadside designed and printed by Kyung Eun You at Center for Book Arts in honor of the poet’s reading in November, 2023. Text hand set in Sabon and Cochin Italic and letterpress-printed on Vandercook, and image frottage-printed on Curious Translucent by Mohawk in an Edition of 100. ext hand set in Sabon and Cochin Italic and letterpress-printed on Vandercook, and i",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/suji_k_kim_broadsdie_2023.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/suji_k_kim_broadsdie_2023_detail-scaled.jpg']",Center for Book Arts,100,Broadside,
